"Sequence ID (GISAID EPI-ISL)"	"Authors"	"Originating laboratory"	"Submitting laboratory"
"EPI_ISL_1813921"	"Nicole L Washington, Simon White, Geraint Levan, Kelly Schiabor Barrett, Elizabeth Cirulli, Alexandre Bolze, Charlotte Rivera-Garcia, Ryan Cho, Jason Nguyen, Sherry Wang, Jimmy Ramirez, Celena Andrade, Alice Summerfield, Tyler Cassens, Efren Sandoval, Francisco Tanudjaja, Magnus Isaksson, William Lee, David Becker, Marc Laurent, James Lu + SEARCH"	"EXCITE Lab"	"Andersen lab at Scripps Research"
"EPI_ISL_1821406"	"CZB Cliahub Consortium"	"CA DPH Viral and Rickettsial Disease Laboratory"	"Chan-Zuckerberg Biohub"
"EPI_ISL_1912946"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Veracruz"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_1930773"	"Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, Minoo Agarwal, Eyad Almasri, Debbie Boles, Ayla Burns, Nuthawin Charoensri, Oren Cohen, Susan Countryman, Mary Ann Cristobal, Bobbi Croy, Suzanne Dale, Hrushikesh Deshmukh, Amanda Douglas, Vincent Drouillon, Marcia Eisenberg, Howard Engler, Rama Ghatti, Prashant Gupta, Susan Hicks, Jake Humphrey, Lax Iyer, Manoj Jain, Mohan Kolli, Brian Krueger, Tim Kuphal, Stanley Letovsky, Michael Levandoski, Craig Lukasik, Jonathan Meltzer, Brian Norvell, Mindy Nye, Scott Parker, Christos Petropoulos, John Pruitt, Steven Ragan, Scott Ryan, Mike Sapeta, Jana Schroth, Suresh Babu Selvaraju, Goran Stevovic, Amanda Suchanek, Andrea Throop, Lyndon Tilson, Thomas Urban, Joe Voshell, Kimberly Wagner, Jonathan Williams, Mary Williamson, Qian Zeng, Tricia Zwiefelhofer, Clinton R. Paden, Duncan MacCannell"	"Laboratory Corporation of America"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_1935628"	"Kirsten St. George, Daryl M. Lamson, Alexis Russell, Matthew Shudt, Melissa A Leisner, Jonathan Plitnick, Catharine Prussing, Navjot Singh, John Kelly, Erasmus Schneider, Erica Lasek-Nesselquist"	"NYC Pandemic Response Lab"	"Wadsworth Center, New York State Department of Health"
"EPI_ISL_1935629"	"Kirsten St. George, Daryl M. Lamson, Alexis Russell, Matthew Shudt, Melissa A Leisner, Jonathan Plitnick, Catharine Prussing, Navjot Singh, John Kelly, Erasmus Schneider, Erica Lasek-Nesselquist"	"NORTHWELL HEALTH LABORATORIES"	"Wadsworth Center, New York State Department of Health"
"EPI_ISL_2090889"	"Suppiah J, Kamel K, Mohd Zawawi Z, Azizan MA, Ramly N, Robert F, Thayan R"	"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia"	"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia"
"EPI_ISL_2098737"	"Jeremy Wang, Alexander Rubinsteyn, Colleen Rice, Jose Luis Torres Castillo, Brianna de la Houssaye, Jason Smedberg, Shawn Hawken, Melissa Miller, Corbin Jones, Robert Hagan"	"Clinical Molecular Microbiology Laboratory, UNC Hospitals"	"Jeremy Wang"
"EPI_ISL_2103364"	"C. Paul Morris, Chun Huai Luo, Adannaya Amadi, Nicholas Gallagher, Matthew Schwartz, Heba H. Mostafa"	"Johns Hopkins Hospital Department of Pathology"	"Johns Hopkins Hospital Department of Pathology"
"EPI_ISL_2103365"	"C. Paul Morris, Chun Huai Luo, Adannaya Amadi, Nicholas Gallagher, Matthew Schwartz, Heba H. Mostafa"	"Johns Hopkins Hospital Department of Pathology"	"Johns Hopkins Hospital Department of Pathology"
"EPI_ISL_2135034"	"Ruth Ann Luna, Jennifer K. Spinler, James Dunn, James Versalovic, Ila Singh"	"Texas Children's Hospital"	"Texas Children's Microbiome Center"
"EPI_ISL_2135035"	"Ruth Ann Luna, Jennifer K. Spinler, James Dunn, James Versalovic, Ila Singh"	"Texas Children's Hospital"	"Texas Children's Microbiome Center"
"EPI_ISL_2139635"	"Rafia Razzaque, Eugene Yeboah, Vanda Makris, Laura Tsaknaridis, John Fontana and Shane Sevey"	"Oregon State Public Health Laboratory"	"Oregon State Public Health Laboratory"
"EPI_ISL_2146743"	"Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, Cyndi Clark, Patrick Campbell, Rob Case, Vikramsinha Ghorpade, Holly Houdeshell, Ola Kvalvaag, Dillon Nall, Ethan Sanders, Alec Vest, Shaun Westlund, Matthew Hardison, Clinton R. Paden, Duncan MacCannell"	"Aegis Sciences Corporation"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_2157357"	"Paola Resende, Mitzi Castro, Claudia Díaz, Sandra Paola Paz, Luciana Appolinario, Fernando Motta, Anna Carolina Paixao, Ana Carolina Mendonca, Alice Sampaio Rocha, Taina Venas, Eilisa Cavalcante Pereira, Renata Serrano Lopes, Marilda Siqueira on behalf of the Fiocruz COVID-19 Genomic Surveillance Network"	"Red - Regional de Vigilancia Genómica del COVID-19"	"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ"
"EPI_ISL_2157358"	"Paola Resende, Mitzi Castro, Claudia Díaz, Sandra Paola Paz, Luciana Appolinario, Fernando Motta, Anna Carolina Paixao, Ana Carolina Mendonca, Alice Sampaio Rocha, Taina Venas, Eilisa Cavalcante Pereira, Renata Serrano Lopes, Marilda Siqueira on behalf of the Fiocruz COVID-19 Genomic Surveillance Network"	"Red - Regional de Vigilancia Genómica del COVID-19"	"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ"
"EPI_ISL_2158310"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Jalisco"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2158313"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Nuevo Leon"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2158314"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Morelos"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2178754"	"Hidalgo-Miranda A, Cedro-Tanda A, Mendoza-Vargas A, Reyes-Grajeda JP, Cisneros-Villanueva M, Orjuela-Rodríguez M, Abraham Campos-Romero, Moreno-Camacho José Luis,  Rodriguez-Gallegos Jorge, Luna-Ruiz Marco, Gonzalez-Barrera D, Rangel-DeLeon D, Munguia-Garza P, Ramirez-Vega O,  Escobar-Arrazola, M, Herrera-Montalvo LA."	"Salud Digna"	"Instituto Nacional de Medicina Genomica"
"EPI_ISL_2178756"	"Hidalgo-Miranda A, Cedro-Tanda A, Mendoza-Vargas A, Reyes-Grajeda JP, Cisneros-Villanueva M, Orjuela-Rodríguez M, Abraham Campos-Romero, Moreno-Camacho José Luis,  Rodriguez-Gallegos Jorge, Luna-Ruiz Marco, Gonzalez-Barrera D, Rangel-DeLeon D, Munguia-Garza P, Ramirez-Vega O,  Escobar-Arrazola, M, Herrera-Montalvo LA."	"Salud Digna"	"Instituto Nacional de Medicina Genomica"
"EPI_ISL_2189945"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2190478"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2190695"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2190713"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2190726"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2190759"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2190792"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2191074"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2202736"	"Adriana Heguy, Dacia Dimartino, Emily Guzman, Christian Marier, Peter Meyn, Sitharam Ramaswami, Gael Westby, Paul Zappile, Yutong Zhang, Paolo Cotzia, Guiqing Wang"	"NYU Langone Health"	"Departments of Pathology and Medicine, New York University School of Medicine"
"EPI_ISL_2203183"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2203288"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2203646"	"Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, S. H. Rosenthal, A. Gerasimova, R. M. Kagan, B. Anderson, M. Hua, Y. Liu, L.E. Bernstein, K.E. Livingston, A. Perez, I. A. Shlyakhter, R. V. Rolando, R. Owen, P. Tanpaiboon, F. Lacbawan, Clinton R. Paden, Duncan MacCannell"	"Quest Diagnostics Incorporated"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_2205506"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2205538"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2208296"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2211707"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2211965"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2211985"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2212100"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2212110"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2213520"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2216902"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2222838"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2222849"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2224495"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2224652"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2225500"	"Randall J. Olsen, Paul A. Christensen, S. Wesley Long, Sishir Subedi, Robert Olson, Marcus Nguyen, James J. Davis, Matthew Ojeda Saavedra, Prasanti Yerramilli, Layne Pruitt,  Kristina Reppond,  Madison N. Shyer, Jessica Cambric, Ryan Gadd, Ilya J. Finkelstein, Jimmy Gollihar, and James M. Musser"	"Houston Methodist Hospital"	"Houston Methodist Hospital"
"EPI_ISL_2245471"	"Gage Moreno, Katarina Braun, et al. AIDS Vaccine Research Laboratories"	"University of Wisconsin-Madison AIDS Vaccine Research Laboratories"	"University of Wisconsin-Madison AIDS Vaccine Research Laboratories"
"EPI_ISL_2277185"	"Laura Bankers, Molly C. Hetherington-Rauth, Diana Ir, Alexandria Rossheim, Shannon R. Matzinger, Sarah Elizabeth Totten, Emily A. Travanty"	"Colorado Department of Public Health and Environment"	"Colorado Department of Public Health and Environment"
"EPI_ISL_2277430"	"Laura Bankers, Molly C. Hetherington-Rauth, Diana Ir, Alexandria Rossheim, Shannon R. Matzinger, Sarah Elizabeth Totten, Emily A. Travanty"	"Colorado Department of Public Health and Environment"	"Colorado Department of Public Health and Environment"
"EPI_ISL_2304188"	"Sergio Buenestado Serrano, Pedro Sola Campoy, Laura Pérez-Lago, Cristina Rodriguez-Grande, Marta Herranz Martin, Victor Manuel de la Cueva, Julia Suárez, Pilar Catalán, Patricia Muñoz, Darío García de Viedma"	"Hospital General Universitario Gregorio Marañón"	"Hospital General Universitario Gregorio Marañón"
"EPI_ISL_2305239"	"Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, Minoo Agarwal, Eyad Almasri, Debbie Boles, Ayla Burns, Nuthawin Charoensri, Oren Cohen, Susan Countryman, Mary Ann Cristobal, Bobbi Croy, Suzanne Dale, Hrushikesh Deshmukh, Amanda Douglas, Vincent Drouillon, Marcia Eisenberg, Howard Engler, Rama Ghatti, Prashant Gupta, Susan Hicks, Jake Humphrey, Lax Iyer, Manoj Jain, Mohan Kolli, Brian Krueger, Tim Kuphal, Stanley Letovsky, Michael Levandoski, Craig Lukasik, Jonathan Meltzer, Brian Norvell, Mindy Nye, Scott Parker, Christos Petropoulos, John Pruitt, Steven Ragan, Scott Ryan, Mike Sapeta, Jana Schroth, Suresh Babu Selvaraju, Goran Stevovic, Amanda Suchanek, Andrea Throop, Lyndon Tilson, Thomas Urban, Joe Voshell, Kimberly Wagner, Jonathan Williams, Mary Williamson, Qian Zeng, Tricia Zwiefelhofer, Clinton R. Paden, Duncan MacCannell"	"Laboratory Corporation of America"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_2305803"	"Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, Minoo Agarwal, Eyad Almasri, Debbie Boles, Ayla Burns, Nuthawin Charoensri, Oren Cohen, Susan Countryman, Mary Ann Cristobal, Bobbi Croy, Suzanne Dale, Hrushikesh Deshmukh, Amanda Douglas, Vincent Drouillon, Marcia Eisenberg, Howard Engler, Rama Ghatti, Prashant Gupta, Susan Hicks, Jake Humphrey, Lax Iyer, Manoj Jain, Mohan Kolli, Brian Krueger, Tim Kuphal, Stanley Letovsky, Michael Levandoski, Craig Lukasik, Jonathan Meltzer, Brian Norvell, Mindy Nye, Scott Parker, Christos Petropoulos, John Pruitt, Steven Ragan, Scott Ryan, Mike Sapeta, Jana Schroth, Suresh Babu Selvaraju, Goran Stevovic, Amanda Suchanek, Andrea Throop, Lyndon Tilson, Thomas Urban, Joe Voshell, Kimberly Wagner, Jonathan Williams, Mary Williamson, Qian Zeng, Tricia Zwiefelhofer, Clinton R. Paden, Duncan MacCannell"	"Laboratory Corporation of America"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_2308792"	"Kirsten St. George, Daryl M. Lamson, Alexis Russell, Matthew Shudt, Melissa A Leisner, Jonathan Plitnick, Catharine Prussing, Navjot Singh, John Kelly, Erasmus Schneider, Erica Lasek-Nesselquist"	"WESTCHESTER MEDICAL CENTER"	"Wadsworth Center, New York State Department of Health"
"EPI_ISL_2324521"	"Dakota Howard, Dhwani Batra, Peter W. Cook, Kara Moser, Adrian Paskey, Jason Caravas, Benjamin Rambo-Martin, Shatavia Morrison, Christopher Gulvick, Scott Sammons, Yvette Unoarumhi, Darlene Wagner, Matthew Schmerer, Minoo Agarwal, Eyad Almasri, Debbie Boles, Ayla Burns, Nuthawin Charoensri, Oren Cohen, Susan Countryman, Mary Ann Cristobal, Bobbi Croy, Suzanne Dale, Hrushikesh Deshmukh, Amanda Douglas, Vincent Drouillon, Marcia Eisenberg, Howard Engler, Rama Ghatti, Prashant Gupta, Susan Hicks, Jake Humphrey, Lax Iyer, Lisa Pfefferle, Manoj Jain, Matthew Robinson, Mohan Kolli, Brian Krueger, Tim Kuphal, Stanley Letovsky, Michael Levandoski, Craig Lukasik, Jonathan Meltzer, Brian Norvell, Mindy Nye, Scott Parker, Christos Petropoulos, John Pruitt, Steven Ragan, Scott Ryan, Mike Sapeta, Jana Schroth, Suresh Babu Selvaraju, Goran Stevovic, Amanda Suchanek, Andrea Throop, Lyndon Tilson, Thomas Urban, Joe Voshell, Kimberly Wagner, Jonathan Williams, Mary Williamson, Qian Zeng, Tricia Zwiefelhofer, Clinton R. Paden, Duncan MacCannell"	"Laboratory Corporation of America"	"Centers for Disease Control and Prevention   Division of Viral Diseases, Pathogen Discovery"
"EPI_ISL_2329357"	"SEARCH Alliance San Diego with Ashleigh Murphy, Jovan Shephard, Brett Austin"	"San Diego County Public Health Laboratory"	"Andersen lab at Scripps Research"
"EPI_ISL_2329364"	"SEARCH Alliance San Diego with Ashleigh Murphy, Jovan Shephard, Brett Austin"	"San Diego County Public Health Laboratory"	"Andersen lab at Scripps Research"
"EPI_ISL_2329433"	"SEARCH Alliance San Diego with Aaron Harding, Jacquelyn Berumen, Cathy Woerle, Liam McGinnis, Art Mendoza, Omid Bakhtar"	"Sharp HealthCare Laboratory"	"Andersen lab at Scripps Research"
"EPI_ISL_2329470"	"SEARCH Alliance San Diego with Ashleigh Murphy, Jovan Shephard, Brett Austin"	"San Diego County Public Health Laboratory"	"Andersen lab at Scripps Research"
"EPI_ISL_2329607"	"SEARCH Alliance San Diego with Ashleigh Murphy, Jovan Shephard, Brett Austin"	"San Diego County Public Health Laboratory"	"Andersen lab at Scripps Research"
"EPI_ISL_2343003"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Yucatan"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
"EPI_ISL_2343004"	"Claudia Wong-Arambula, Abril Rodriguez-Maldonado, Vanessa Rivero-Arredondo, Ariadna Medina-Benitez, Joaquin Quiroz-Mercado, Sergio Rangel-Guerrero, Natividad Cruz-Ortiz, Tatiana Nunez-Garcia, Gisela Barrera-Badillo, Lucia Hernandez-Rivas, Irma Lopez-Martinez, Ernesto Ramirez-Gonzalez."	"LESP Yucatan"	"Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)"
